ISOCODE,Type,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
COD,AGRI,Democratic Republic of the Congo,180,"2,250,474.69","2,164,866.35","1,874,584.58","1,463,120.77","2,244,688.90","2,096,063.21","1,136,619.00","529,435.57","1,668,691.45","1,814,189.03","878,916.99","1,044,827.24","877,955.22","1,059,721.13","921,997.26","935,150.58","1,001,783.47","943,173.30","868,506.92","1,356,566.61"
COK,AGRI,Cook Islands,184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI,AGRI,Costa Rica,188,"2,751.54","4,126.23",631.63,"2,855.07","2,202.08","1,470.99","2,549.35","3,143.29","1,110.35",961.51,"2,244.53",695.95,"2,340.31",955.72,884.94,"1,281.05","3,310.61","3,620.32","3,846.65","2,156.95"
HRV,AGRI,Croatia,191,419.45,260.67,338.20,"64,652.33","1,246.65",983.48,"1,057.55",521.04,113.21,250.75,"1,909.37",591.76,"1,433.93",58.72,"1,662.62","3,360.74",33.46,157.38,120.02,"4,166.91"
CUB,AGRI,Cuba,192,"16,334.90","23,294.59","21,858.03","23,462.12","5,666.49","5,178.39","9,082.51","38,444.20","20,054.27","31,423.33","13,632.01","10,952.15","32,489.23","12,206.48","31,358.73","16,894.96","13,710.40","7,210.97","20,121.44","18,598.69"
CYP,AGRI,Cyprus,196,0.62,4.58,2.76,0.19,32.00,13.06,159.99,46.15,5.47,0.70,1.95,0.07,0.05,1.27,2.35,3.80,2.99,0.81,0.44,14.70
CZE,AGRI,Czech Republic,203,7.63,12.18,3.97,14.05,41.96,24.07,51.51,78.83,15.20,18.94,31.68,23.48,144.28,12.37,16.87,20.89,9.33,21.65,12.74,29.56
BEN,AGRI,Benin,204,"101,512.96","101,392.25","85,676.27","112,828.19","76,581.24","125,289.56","86,290.32","93,913.47","213,020.52","137,555.88","130,605.19","84,730.29","128,083.81","56,738.82","36,970.36","42,368.09","56,312.98","54,861.89","59,381.69","93,900.73"
DNK,AGRI,Denmark,208,77.62,6.39,13.47,7.09,74.55,82.62,64.97,317.85,15.84,241.97,3.39,52.78,25.13,4.74,1.97,5.13,17.64,28.34,15.05,55.61
DMA,AGRI,Dominica,212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOM,AGRI,Dominican Republic,214,"1,054.41","1,023.63",458.63,"1,329.07","1,094.12","3,497.73","1,705.33",289.15,"6,511.97",810.48,"2,415.95","1,618.97",900.27,"4,082.45","2,376.07",354.06,"1,700.11","1,499.76",796.90,"1,764.16"
ECU,AGRI,Ecuador,218,594.52,272.81,312.50,"11,646.20",266.14,311.16,461.16,301.61,587.19,250.17,"2,128.95","1,989.52","5,204.47",90.62,576.17,759.97,"10,796.19",946.93,190.03,"1,983.49"
SLV,AGRI,El Salvador,222,128.75,336.92,186.66,541.43,288.11,314.17,258.80,239.31,130.43,235.54,158.58,102.03,124.97,167.32,104.80,127.85,464.30,321.34,466.09,247.23
GNQ,AGRI,Equatorial Guinea,226,6.21,116.17,17.54,1.40,0.00,0.00,3.17,31.42,50.59,4.20,0.00,8.76,9.68,41.42,171.24,0.17,84.82,2.71,3.20,29.09
ETH,AGRI,Ethiopia,231,"245,353.65","96,721.48","107,789.24","116,965.57","77,277.10","132,319.07","70,831.22","42,860.79","123,636.92","62,556.65","66,059.50","67,630.79","35,471.60","74,118.86","69,550.70","73,502.69","86,431.05","53,428.92","72,479.23","88,157.11"
ERI,AGRI,Eritrea,232,"30,131.03","1,390.48","9,497.90","11,970.63","13,071.87","8,122.07","3,580.19","2,766.82","1,033.15","3,756.41","8,767.92","4,126.89",785.07,828.70,753.56,708.29,140.27,242.09,189.49,"5,361.20"
EST,AGRI,Estonia,233,7.20,5.34,2.05,8.25,13.14,134.00,1.66,0.00,0.54,330.31,0.51,152.49,0.84,12.95,3.04,0.00,14.02,3.96,1.44,36.41
FRO,AGRI,Faeroe Islands,234,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FLK,AGRI,Falkland Islands (Malvinas),238,0.00,0.00,0.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
FJI,AGRI,Fiji,242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FIN,AGRI,Finland,246,0.96,2.38,0.28,9.96,3.53,1.43,2.92,0.00,26.14,20.39,0.07,38.89,1.16,1.79,0.92,0.66,14.09,0.00,0.15,6.62
ALA,AGRI,Åland Islands,248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FRA,AGRI,France,250,513.09,592.42,"1,114.24","1,562.87","1,932.41","2,251.32","3,310.56","1,932.19","1,100.83",527.92,554.50,"1,296.05","1,588.72",803.87,449.23,"1,322.59","1,090.96",937.30,189.41,"1,214.24"
GUF,AGRI,French Guiana,254,"1,022.26",98.27,281.72,0.52,142.59,209.74,670.66,473.80,228.02,136.02,179.79,"1,039.77",841.94,56.30,15.26,200.49,4.88,86.83,101.68,304.77
PYF,AGRI,French Polynesia,258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DJI,AGRI,Djibouti,262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GAB,AGRI,Gabon,266,"93,545.67","13,732.19","41,209.89","14,320.13","43,576.05","33,476.40","5,691.76","12,909.25","8,547.65","24,209.08","10,531.72","5,686.93","23,694.70","8,760.42","12,122.42","49,891.35","38,504.61","31,505.88","23,503.74","26,074.73"
GEO,AGRI,Georgia,268,200.67,"1,097.30",485.88,106.00,"5,964.56",467.41,312.96,"3,399.27","3,619.28","1,114.44",884.87,818.50,258.01,"1,302.61",415.80,269.52,467.55,553.45,"18,535.46","2,119.66"
GMB,AGRI,Gambia,270,"16,450.49","4,837.68","3,959.91","6,104.75","5,302.32","4,168.49","2,369.29","9,849.12","10,107.22","11,364.44","4,884.15","3,522.39","4,534.50","3,913.69","5,776.63","4,375.47","5,432.91","3,463.97","1,848.93","5,908.75"
PSE,AGRI,State of Palestine,275,0.04,3.59,0.09,0.00,0.66,0.93,6.66,41.74,0.37,0.45,0.95,0.43,0.57,0.61,0.63,1.25,1.21,0.22,0.52,3.21
DEU,AGRI,Germany,276,257.68,28.10,114.76,17.67,65.28,22.80,44.08,143.72,48.83,59.40,3.65,"1,041.25",45.30,30.61,31.76,88.15,50.59,83.97,138.56,121.90
GHA,AGRI,Ghana,288,"505,777.80","811,809.59","375,164.50","890,118.41","991,231.60","771,634.66","389,332.38","155,005.73","720,748.13","518,838.35","586,209.83","660,569.48","441,001.68","367,697.57","259,881.22","328,171.19","514,858.53","251,437.03","609,062.24","534,134.21"
KIR,AGRI,Kiribati,296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GRC,AGRI,Greece,300,"3,874.11","6,042.85","5,037.44","170,461.08","21,651.93","5,628.45","2,902.16","14,316.54","2,478.00","1,511.63","27,162.41","10,592.25","4,663.32","2,293.46","7,899.71","6,108.06","5,631.09","6,931.66",900.82,"16,109.84"
GRL,AGRI,Greenland,304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GRD,AGRI,Grenada,308,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.09
GLP,AGRI,Guadeloupe,312,0.03,14.27,0.08,0.04,1.13,0.00,0.90,0.00,0.00,34.73,0.00,0.34,0.00,0.74,0.00,0.00,0.00,0.11,0.87,2.80
GUM,AGRI,Guam,316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GTM,AGRI,Guatemala,320,"5,754.82","3,000,152.25","9,981.41","1,654,231.84","1,244.13","5,604.44","101,258.32","3,051.60","128,978.68","4,268.82","20,909.87","7,271.70","15,548.39","5,314.52","6,237.62","3,136.60","10,240.85","3,640.04","3,751.87","262,661.99"
GIN,AGRI,Guinea,324,"34,861.22","113,553.33","57,130.04","42,881.56","73,340.92","90,503.31","30,915.08","11,581.31","32,490.29","59,520.77","53,089.77","45,491.28","36,183.63","23,943.96","21,205.20","39,204.48","44,785.39","29,370.92","24,735.06","45,515.13"
GUY,AGRI,Guyana,328,"3,065.02","4,321.91",912.93,76.54,"1,766.31","1,311.94","2,962.56",796.92,"5,459.81","1,979.07","2,565.03","2,188.64","2,994.24",380.57,427.30,"3,365.42","1,746.45","8,512.11","25,748.76","3,714.82"
HTI,AGRI,Haiti,332,68.44,32.42,62.26,318.26,43.11,45.32,47.86,170.87,73.84,212.75,80.24,128.29,58.30,38.57,49.39,67.05,71.96,39.07,64.31,88.02
HND,AGRI,Honduras,340,"8,623.49","49,967.24","1,086.56","4,159.76","1,463.46","1,356.76","27,525.48","1,224.55","11,606.04","2,768.08","2,560.60","2,039.79","2,064.59","1,088.13","2,381.08",885.67,"2,139.29","2,804.39","1,661.44","6,705.60"
HKG,AGRI,China Hong Kong Special Administrative Region,344,0.98,0.13,0.10,0.01,0.00,0.00,0.08,2.20,0.43,4.80,1.87,3.30,0.00,4.51,1.42,0.40,0.00,0.00,1.67,1.15
HUN,AGRI,Hungary,348,427.29,250.26,254.30,"49,244.71","8,538.55","2,043.68","2,626.20","1,107.83",561.44,860.84,782.73,"1,360.82",793.33,97.30,453.79,"1,366.16",182.43,370.29,110.25,"3,759.59"
ISL,AGRI,Iceland,352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IND,AGRI,India,356,"151,743.16","54,322.38","162,699.38","26,020.43","11,758.21","190,902.90","234,522.98","277,703.61","429,093.65","259,833.73","248,006.83","392,362.53","1,013,842.92","237,989.38","629,855.17","533,992.96","445,049.76","615,787.83","1,040,857.55","366,123.44"
IDN,AGRI,Indonesia,360,"3,923,898.20","94,453.35","34,755.76","22,198.04","45,078.07","439,636.31","46,199.33","201,027.87","51,493.01","333,520.73","17,418.40","30,769.79","187,492.99","8,610.04","36,072.44","35,790.61","14,362.26","65,899.90","140,631.20","301,542.54"
IRN,AGRI,Iran (Islamic Republic of),364,292.87,"6,193.08",597.07,"4,081.96",550.29,"1,604.72","4,429.10","28,367.35","1,803.84","1,795.74","4,184.91","1,057.45","1,607.12","7,150.03",640.14,659.71,950.11,"1,566.24","2,726.23","3,697.79"
IRQ,AGRI,Iraq,368,173.06,853.56,545.91,"4,062.21","1,301.03","1,335.23",779.21,"2,479.87",61.66,125.93,270.66,"1,733.08","1,466.00","1,358.61","1,486.21",392.18,55.55,"1,043.16","4,191.31","1,248.13"
IRL,AGRI,Ireland,372,0.29,0.63,0.06,0.05,0.00,0.16,0.46,1.12,0.00,0.66,0.00,0.00,0.50,3.08,17.25,0.00,0.26,0.32,4.90,1.56
ISR,AGRI,Israel,376,3.61,24.76,8.71,17.55,57.52,141.35,56.52,98.29,66.39,55.00,158.30,9.27,33.41,176.36,34.38,4.62,62.25,9.60,11.53,54.18
ITA,AGRI,Italy,380,"8,051.05","11,311.35","19,104.65","20,922.37","14,602.60","43,846.04","19,233.97","54,772.68","7,189.20","2,498.71","23,361.40","26,916.36","6,367.27","12,971.26","6,120.30","18,049.91","3,386.36","25,512.48","1,111.22","17,122.59"
CIV,AGRI,Côte d'Ivoire,384,"98,088.06","343,936.92","192,681.32","170,672.69","210,159.14","153,347.97","32,915.73","24,216.09","137,424.71","87,656.71","132,138.67","167,929.04","74,336.32","37,307.73","54,597.13","36,669.30","43,662.20","17,369.53","26,918.77","107,475.16"
JAM,AGRI,Jamaica,388,11.17,43.77,46.81,61.31,17.19,118.94,114.59,61.64,229.05,246.96,9.72,22.05,283.61,269.34,84.39,29.20,187.95,43.48,26.05,100.38
JPN,AGRI,Japan,392,"1,555.27","1,717.64","1,130.90",576.16,"1,970.81","2,097.14","6,739.44","10,408.74","1,332.97","2,758.74","5,713.27","2,165.50","1,992.97","1,727.15","2,318.77","1,028.05","1,667.67","1,938.51","2,022.90","2,676.98"
KAZ,AGRI,Kazakhstan,398,"743,415.20","70,559.47","72,783.75","323,919.31","156,657.00","763,541.79","146,622.85","128,024.48","79,013.96","127,039.02","156,587.16","454,682.54","36,608.77","119,806.49","48,604.30","325,295.05","8,022.48","96,525.16","68,382.56","206,636.39"
JOR,AGRI,Jordan,400,0.08,0.60,0.16,0.06,0.79,1.14,0.94,381.75,1.66,0.14,0.20,1.94,1.37,6.65,0.51,0.29,1.81,0.09,8.04,21.49
KEN,AGRI,Kenya,404,"12,929.74","50,314.21","13,136.85","52,769.72","6,819.77","4,859.89","10,061.65","5,438.48","5,191.50","1,647.94","5,323.39","7,433.38","3,229.78","3,310.14","1,828.79","2,429.07","8,331.84","5,549.81","5,798.21","10,863.38"
PRK,AGRI,Democratic People's Republic of Korea,408,"220,069.03","48,754.57","9,400.88","36,587.46","63,325.84","2,559.79","3,044.38",424.06,"4,167.24","1,783.13","1,087.14","3,374.14","5,546.78",284.79,"5,086.45","1,157.25",620.20,"4,594.60","3,680.42","21,870.96"
KOR,AGRI,Republic of Korea,410,856.98,618.19,176.84,"24,496.56",467.28,600.08,70.24,"4,720.37",487.31,506.87,444.04,545.19,546.94,476.07,470.69,287.17,721.49,691.18,970.02,"2,008.08"
KWT,AGRI,Kuwait,414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KGZ,AGRI,Kyrgyzstan,417,"4,683.66",517.32,706.88,786.00,709.30,"1,083.25",238.95,"3,030.46",743.64,643.73,"1,752.41",258.88,556.68,189.94,607.41,74.41,56.55,140.08,48.90,885.71
LAO,AGRI,Lao People's Democratic Republic,418,"7,431.94","28,963.97","17,288.43","11,779.17","1,294.43","4,842.74",652.50,"2,383.52","11,996.88","15,383.75","36,821.29","7,746.54","14,979.05","57,104.92","4,434.53","9,144.26","9,221.98","11,923.09","7,789.39","13,746.44"
LBN,AGRI,Lebanon,422,0.72,6.96,2.73,0.20,0.20,12.59,7.39,191.54,1.16,38.14,19.49,0.23,4.27,11.84,4.85,3.85,13.59,5.07,3.40,17.27
LSO,AGRI,Lesotho,426,150.35,"2,083.55",83.75,205.01,495.17,210.13,338.95,465.17,304.18,204.80,786.25,12.00,156.85,48.36,119.27,239.78,417.77,387.39,196.58,363.44
LVA,AGRI,Latvia,428,44.89,22.30,7.98,34.96,454.62,"2,815.09",77.17,6.99,11.59,52.94,0.68,13.73,9.04,4.44,1.75,2.72,2.82,27.82,9.55,189.53
LBR,AGRI,Liberia,430,595.73,"12,621.94","4,405.93","1,445.46","4,595.02","2,190.51","1,814.72",156.30,43.93,671.07,"2,265.94",596.01,"5,288.65",275.57,131.28,"2,893.87",595.35,"1,514.97","1,309.26","2,284.82"
LBY,AGRI,Libya,434,0.07,0.43,0.19,0.00,0.04,6.39,9.30,2.23,0.59,0.30,0.36,0.12,0.24,0.14,0.06,0.49,0.07,2.62,0.01,1.24
LTU,AGRI,Lithuania,440,"1,884.61",129.21,865.80,36.42,144.67,"1,665.39",139.33,26.42,"18,400.80",177.06,9.90,78.66,174.04,29.31,53.87,7.08,991.00,136.91,25.74,"1,314.54"
